title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
RealFlight Evolution,1062900,win,,"27 Oct, 2022","Indie, Racing, Simulation",no,"Horizon Hobby, LLC","Horizon Hobby, LLC","Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, VR Supported, Includes level editor",141,12.0,,Mostly Positive
Gems of War - Puzzle RPG,0,win,,"20 Nov, 2014","Action, Adventure, Casual, Free to Play, RPG, Strategy",no,Infinity Plus 2,505 Games,"Single-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Steam Cloud",9197,1.0,,Mostly Positive
Lawn Mowing Simulator,0,win,-66%,"10 Aug, 2021",Simulation,no,Skyhook Games,Curve Games,"Single-player, Steam Achievements, Full controller support, Steam Cloud",1409,20.0,,Mostly Positive
DRAGON BALL: THE BREAKERS,199000,win,,"13 Oct, 2022","Action, Adventure, Casual",no,Dimps Corporation,Bandai Namco Entertainment,"Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support",3103,10.0,,Mixed
Fallout 3: Game of the Year Edition,164900,win,,"17 Dec, 2009",RPG,no,Bethesda Game Studios,Bethesda Softworks,Single-player,31528,,91,Very Positive
SD GUNDAM BATTLE ALLIANCE,699000,win,,"24 Aug, 2022","Action, RPG",no,ARTDINK,Bandai Namco Entertainment,"Single-player, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",4208,25.0,71,Mixed
Predecessor,0,win,,"30 Nov, 2022","Action, Massively Multiplayer, Strategy, Early Access",no,Omeda Studios,Omeda Studios,"Online PvP, Full controller support",5251,20.0,,Mostly Positive
Thriving City: Song,159999,win,,"21 Apr, 2023","Casual, Indie, Simulation, Strategy, Early Access",no,White Star Studio,IndieArk,"Single-player, Steam Cloud",1251,5.0,,Very Positive
"Gunner, HEAT, PC!",139999,win,,"6 Sep, 2022","Action, Indie, Simulation, Early Access",no,Radian Simulations LLC,Radian Simulations LLC,"Single-player, Partial Controller Support",2181,12.0,,Very Positive
Wartune Reborn,0,win,,"26 Feb, 2021","Adventure, Casual, Free to Play, Massively Multiplayer, RPG, Strategy",no,7Road,7Road,"Single-player, MMO, Online PvP, Online Co-op, In-App Purchases",182,0.1,,Mixed
The Ranch of Rivershine,139999,win,,"12 May, 2023","Simulation, Early Access",no,Cozy Bee Games,Cozy Bee Games,"Single-player, Steam Cloud",151,,,Very Positive
The Case of the Golden Idol,104999,"win, mac",,"13 Oct, 2022","Adventure, Indie",no,Color Gray Games,Playstack,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",3382,0.3,,Overwhelmingly Positive
BioShock™,0,win,,"21 Aug, 2007","Action, RPG",no,"2K Boston, 2K Australia",2K,"Single-player, Partial Controller Support",22383,,96,Very Positive
