title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
Roboquest,0,linux,-20%,"20 Aug, 2020",Simulation,no,Frozenbyte,RyseUp Studios,Steam Cloud,4524,6.0,,Very Positive
CRUMB Circuit Simulator,0,win,-25%,"18 Nov, 2022",Action,no,Beamdog,Mike Bushell,Remote Play on Phone,287,,,Very Positive
X4: Tides of Avarice,130999,win,,"14 Mar, 2022",Indie,yes,KISS,Egosoft,Remote Play on Tablet,224,20.0,,Mostly Positive
Northgard - Cross of Vidar Expansion Pack,69999,win,,"13 Dec, 2022",RPG,yes,CAPCOM TAIWAN,Shiro Unlimited,Remote Play on TV,308,1.0,,Mixed
Chimeraland,0,mac,,"14 Jul, 2022",Indie,no,Supra Games,Pixel soft,Single-player,2141,12.0,,Mostly Positive
Showgunners,245999,win,,"2 May, 2023",Strategy,no,Door 407,Good Shepherd Entertainment,Online Co-op,404,,75,Very Positive
GWENT: The Witcher Card Game,0,win,,"19 May, 2020",Early Access,no,Ember Lab,CD PROJEKT RED,Steam Achievements,19629,,80,Very Positive
Cooking Simulator,108999,win,,"6 Jun, 2019",Action,no,GSQ Games,Cooking Simulator,Steam Trading Cards,14217,6.0,64,Very Positive
Monochrome Mobius: Rights and Wrongs Forgotten,249999,win,,"16 Nov, 2022",Casual,no,34BigThings srl,Shiravune,Steam Cloud,523,35.0,,Very Positive
港詭實錄ParanormalHK,112000,win,,"6 Jan, 2020",Sports,no,Square Enix,Gamera Games,Single-player,12498,15.0,,Very Positive
Firmament,284999,mac,,"18 May, 2023",Casual,no,"KOEI TECMO GAMES CO., LTD.",Cyan Worlds Inc,Steam Trading Cards,353,20.0,,Mixed
Battlefleet Gothic: Armada 2 - Chaos Campaign Expansion,0,win,-50%,"24 Jun, 2019",Indie,yes,Sumo Digital,Focus Entertainment,Steam Workshop,125,50.0,,Mixed
Sherlock Holmes: The Devil's Daughter,0,mac,-80%,"10 Jun, 2016",Racing,no,RyseUp Studios,Sherlock Holmes,Steam Cloud,10366,20.0,65,Mostly Positive
The Sims™ 4 Dream Home Decorator Game Pack,239000,linux,,"1 Jun, 2021",Simulation,yes,Mike Bushell,Electronic Arts,Single-player,96,18.0,,Mixed
Mortal Online 2,169999,win,,"25 Jan, 2022",Early Access,no,Egosoft,Star Vault AB,Steam Achievements,7789,110.0,,Mostly Positive
Skullgirls 2nd Encore,119999,mac,,"22 Aug, 2013",Action,no,Shiro Games,Hidden Variable Studios,Full controller support,19319,,83,Overwhelmingly Positive
Assassin's Creed® Syndicate,409000,linux,,"18 Nov, 2015",Free to Play,no,Pixel soft,Ubisoft,Steam Trading Cards,22617,,74,Mostly Positive
Total War: EMPIRE – Definitive Edition,225999,win,,"4 Mar, 2009",Indie,no,Artificer,Feral Interactive (Linux),Steam Cloud,16449,,90,Very Positive
Gold Rush: The Game,0,win,-50%,"13 Oct, 2017",Massively Multiplayer,no,CD PROJEKT RED,Code Horizon,Single-player,11813,19.0,,Mostly Positive
Car Mechanic Simulator 2021 - Drag Racing DLC,95999,win,,"9 Nov, 2022",RPG,yes,Big Cheese Studio,Car Mechanic Simulator,Online PvP,64,,,Mostly Positive
Masterplan Tycoon,0,mac,-20%,"9 Mar, 2023",Early Access,no,AQUAPLUS,Doyoyo Games,Online Co-op,305,,,Mostly Positive
AdVenture Capitalist,0,win,,"30 Mar, 2015",Casual,no,Ghostpie Studio,Hyper Hippo Games,Cross-Platform Multiplayer,54724,,,Very Positive
The Sims™ 4 Eco Lifestyle,479000,win,,"18 Jun, 2020",Simulation,yes,Cyan Worlds Inc,Electronic Arts,Steam Achievements,76,18.0,,Mixed
Jurassic World Evolution,599999,win,,"11 Jun, 2018",Strategy,no,Tindalos Interactive,Frontier Developments,Steam Trading Cards,44914,12.0,69,Overwhelmingly Positive
Motorcycle Mechanic Simulator 2021,0,win,-55%,"17 Nov, 2021",RPG,no,Frogwares,Play2Chill S.A.,Steam Workshop,912,20.0,,Mixed
Far Cry® 4,309000,mac,,Nov 2014,Strategy,no,Maxis,Ubisoft,Steam Cloud,42611,30.0,80,Very Positive
Hellsplit: Arena,119999,win,,"9 Sep, 2019",Casual,no,Star Vault AB,Deep Type Games,Stats,2882,20.3,,Very Positive
Sniper Elite 4,389999,mac,,"13 Feb, 2017",Indie,no,Hidden Variable Studios,Rebellion,Single-player,40866,,78,Very Positive
Need for Speed™ Most Wanted,239000,linux,,"18 Jun, 2020",Simulation,no,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Electronic Arts,Steam Trading Cards,11520,20.0,78,Mostly Positive
Superliminal,108999,win,,"5 Nov, 2020",Adventure,no,CREATIVE ASSEMBLY,Pillow Castle,Steam Cloud,18864,12.0,,Overwhelmingly Positive
Stronghold Kingdoms,0,win,,"27 Feb, 2012",Adventure,no,Feral Interactive (Mac),FireFly Studios,Single-player,8875,,75,Mixed
Spaceflight Simulator,82999,mac,,"17 Feb, 2022",Simulation,no,Feral Interactive (Linux),Stefo Mai Morojna,Full controller support,2959,1.0,,Very Positive
Our Life: Beginnings & Always,0,linux,,"16 Nov, 2020",Action,no,Code Horizon,GB Patch Games,Steam Cloud,9244,,,Overwhelmingly Positive
"Warhammer 40,000: Dawn of War II",0,win,-75%,"18 Feb, 2009",Casual,no,Red Dot Games,SEGA,Single-player,5840,,85,Very Positive
Ship of Fools,130999,mac,,"22 Nov, 2022",Racing,no,Bureau Bravin,Team17,Online PvP,1863,3.0,,Mostly Positive
AFL 23,659000,linux,,"3 May, 2023",Sports,no,Hyper Hippo Games,Nacon,LAN PvP,231,70.0,,Mixed
暖雪 Warm Snow,104999,win,,"18 Jan, 2022",Racing,no,Maxis,BadMudStudio,Cross-Platform Multiplayer,25448,8.0,,Very Positive
Pirate101,0,win,,"31 May, 2023",Simulation,no,Frontier Developments,KingsIsle Entertainment,Steam Achievements,53,,,Very Positive
theHunter: Call of the Wild™ - Hunter Power Pack,37999,mac,,"14 Mar, 2023",Sports,yes,Play2Chill S.A.,Sports,Steam Trading Cards,85,60.0,,Mixed
Bless Unleashed,0,linux,,"6 Aug, 2021",Action,no,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",VALOFE,Steam Cloud,29874,50.0,,Mixed
Totally Reliable Delivery Service,0,win,-75%,"1 Apr, 2021",Indie,no,Deep Type Games,tinyBuild,Includes level editor,781,4.0,64,Very Positive
Kingdom Two Crowns,165999,mac,,"11 Dec, 2018",Simulation,no,Rebellion,Raw Fury,Single-player,15444,4.0,,Very Positive
The Long Dark: Tales from the Far Territory,165999,win,,"5 Dec, 2022",Strategy,yes,Criterion Games,Hinterland Studio Inc.,Downloadable Content,1012,16.0,,Mixed
Ori and the Blind Forest,0,win,,"10 Mar, 2015",Action,no,Pillow Castle,Xbox Game Studios,Steam Achievements,42659,8.0,88,Very Positive
Pathfinder: Kingmaker - Enhanced Plus Edition,108999,mac,,"25 Sep, 2018",Indie,no,FireFly Studios,Prime Matter,Steam Trading Cards,23853,30.0,73,Mostly Positive
Call of Duty®: Modern Warfare® Remastered (2017),522999,linux,,"27 Jul, 2017",Action,no,Stefo Mai Morojna,Call of Duty,Steam Workshop,6527,,,Mostly Positive
Mr. Prepper,0,win,-50%,"18 Mar, 2021",Casual,no,GB Patch Games,PlayWay S.A.,Partial Controller Support,3599,5.0,,Mixed
Stormworks: Search and Destroy,69999,mac,,"5 Oct, 2021",Indie,yes,Relic Entertainment,Geometa,Includes level editor,825,1.0,,Very Positive
DCS: F-16C Viper,1286716,linux,,"3 Oct, 2019",Simulation,yes,Feral Interactive (Mac/Linux),Eagle Dynamics SA,Single-player,563,,,Very Positive
Half-Life,69999,win,,"8 Nov, 1998",Early Access,no,Fika Productions,Valve,Online PvP,71894,,96,Very Positive
Day of Dragons,108999,mac,,"4 Dec, 2019",Casual,no,Big Ant Studios,Beawesome Games,Online Co-op,3744,30.0,,Very Positive
Fishing Planet: Congo Discovery Pack,299999,linux,,"30 Nov, 2021",Indie,yes,BadMudStudio,Sports,Steam Achievements,64,12.0,,Very Positive
Chef Life: A Restaurant Simulator,245999,win,,"23 Feb, 2023",RPG,no,KingsIsle Entertainment,Cyanide Studio,Steam Trading Cards,644,7.0,,Very Positive
Xenonauts,0,win,-80%,"16 Jun, 2014",Simulation,no,Expansive Worlds,Goldhawk Interactive,Steam Workshop,3206,,77,Mostly Positive
Stellaris: Aquatics Species Pack,90999,win,,"22 Nov, 2021",Strategy,yes,VALOFE,Paradox Interactive,MMO,614,10.0,,Very Positive
DJMAX RESPECT V - Emotional Sense PACK,0,win,-80%,"11 Mar, 2020",Early Access,yes,We're Five Games,NEOWIZ,Cross-Platform Multiplayer,145,25.0,,Very Positive
SYNTHETIK: Legion Rising,0,win,-80%,"15 Mar, 2018",Indie,no,Stumpy🐙Squid,Flow Fire Games,Steam Achievements,8939,0.6,,Very Positive
Stellaris: Federations,165999,win,,"17 Mar, 2020",Simulation,yes,Fury Studios,Paradox Interactive,In-App Purchases,863,10.0,74,Mostly Positive
Beholder 3,0,win,-60%,"3 Mar, 2022",Strategy,no,Coatsink,Alawar Premium,Steam Cloud,1179,,,Very Positive
The Sims™ 4 Snowy Escape Expansion Pack,479000,win,,"13 Nov, 2020",Action,yes,Hinterland Studio Inc.,The Sims,Single-player,83,15.0,,Mixed
Return of the Obra Dinn,165999,win,,"18 Oct, 2018",Adventure,no,Moon Studios GmbH,Lucas Pope,Downloadable Content,19028,,89,Very Positive
